id,created_at,text
562880633811521536,2015-02-04 07:49:35,"@16x2is8 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/cV7XReK1L2"
562880633006227459,2015-02-04 07:49:35,"@bashutiwari Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/G6kAmW3I0f"
562880506497601536,2015-02-04 07:49:05,"@jashutosh1976 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/xJfgSzhCnU"
562880503741952003,2015-02-04 07:49:04,"@jaishrisai1 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/yD7dRXVcIz"
562880499228872705,2015-02-04 07:49:03,"@tausheef_khan Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/mXaiiD9prs"
562880498310348801,2015-02-04 07:49:03,"@Yash_Agarwal97 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/R7LSY5JOOU"
562880498293563394,2015-02-04 07:49:03,"@abhinav17800 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/8TQCKqEJbw"
562880498150948865,2015-02-04 07:49:03,"@80Shivam Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/HaAXFvKkr2"
562880497182076928,2015-02-04 07:49:02,"@JavaidSpeaks Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/bjag2MeAJt"
562880497182048256,2015-02-04 07:49:02,"@ratanmaitra Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/wYP7JdzVPV"
562880496649371648,2015-02-04 07:49:02,"@guyjean440 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/MpSZDudVcE"
562880495848292352,2015-02-04 07:49:02,"@lakshmiprashan7 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/4FWLXuxpSW"
562880495835676672,2015-02-04 07:49:02,"@LalwaniRita Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/bWdDkZkcSr"
562880495726657536,2015-02-04 07:49:02,"@pralhadzole Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/3nhLGAfEqT"
562880495718256640,2015-02-04 07:49:02,"@raincloudg Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/xfWb8rCTBF"
562880493281370113,2015-02-04 07:49:02,"@neerajn Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/ydjZpf6K7y"
562880493260382209,2015-02-04 07:49:02,"@aaravaanand Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/zBww8WIjav"
562880487551959040,2015-02-04 07:49:00,"@Aum_Shakti Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/K5NjYe7JUy"
562880486289457152,2015-02-04 07:49:00,"@ravi_newindia Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/KcSh9Ez7ol"
562880485417041921,2015-02-04 07:49:00,"@sifsforensic Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/m0sDgDIIrt"
562880484846628865,2015-02-04 07:49:00,"@sam9456 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/la9KGjcOxG"
562880358950375425,2015-02-04 07:48:30,"@MoreyGanesh Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/YUt0Z6D8F3"
562880356597366786,2015-02-04 07:48:29,"@budha_monk Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/ZBm6pqcS7b"
562880356593188864,2015-02-04 07:48:29,"@skashyap7788 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/PeWDXN9PDQ"
562880355951464448,2015-02-04 07:48:29,"@farazkhan2000 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/PKGbVigCA7"
562880355943084033,2015-02-04 07:48:29,"@mukkulsingh Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/eGMJjmgM3s"
562880349207035904,2015-02-04 07:48:27,"@abhishekjain118 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/hoNbYqxeX8"
562880349186039808,2015-02-04 07:48:27,"@rohitsakunia Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/UMsXe4SOoM"
562880348150054913,2015-02-04 07:48:27,"@sonu777p Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/rSqUUOAaxI"
562880347365720064,2015-02-04 07:48:27,"@speedmystic Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/tv72JsgokW"
562880347298627584,2015-02-04 07:48:27,"@navb82 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/VxdyJhY52C"
562880345746718720,2015-02-04 07:48:26,"@NamoBharatMata Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/orE60JKB0l"
562880345209835520,2015-02-04 07:48:26,"@crosswordsguy Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/0qW3yWtnIf"
562880344899452929,2015-02-04 07:48:26,"@pgaidhane Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/1R4oSpTUwG"
562880342475169792,2015-02-04 07:48:26,"@mufflerManComin Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/OKIVqyKiUz"
562880342068326401,2015-02-04 07:48:26,"@dattdgp Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/KOlsO27JFh"
562880338792570881,2015-02-04 07:48:25,"@YashJain03 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/wkjf00Nq6P"
562880336754143232,2015-02-04 07:48:24,"@aap_103 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/Qy0k7rekPE"
562880334187225088,2015-02-04 07:48:24,"@SATYANEHRA Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/etstSdzST9"
562880205384343552,2015-02-04 07:47:53,"@mohammadktiger1 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/jdUzrH2DxZ"
562880204977487872,2015-02-04 07:47:53,"@Fasih0786 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/NWNippDK6x"
